"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17888","Test 1-2 - verify Products button in the header","","Sun Apr 27 19:56:57 UTC 2025","passed","Sun Apr 27 19:57:15 UTC 2025","","Testing Telnyx home page","",""
"","15044","Test 3-2 - use cases navigation","","Sun Apr 27 19:56:36 UTC 2025","passed","Sun Apr 27 19:56:52 UTC 2025","","Testing Telnyx solutions page","",""
"","22916","Test 2-1 - verify Pricing page title","","Sun Apr 27 19:56:31 UTC 2025","passed","Sun Apr 27 19:56:54 UTC 2025","","Testing Telnyx pricing page","",""
"","12908","Test 3-3 Solutions page filtering","","Sun Apr 27 19:56:52 UTC 2025","passed","Sun Apr 27 19:57:04 UTC 2025","","Testing Telnyx solutions page","",""
"","13079","Test 5-2 - saving calculator","","Sun Apr 27 19:56:55 UTC 2025","passed","Sun Apr 27 19:57:08 UTC 2025","","Testing Telnyx vs Twilio page","",""
"","24321","Test 5-1 - pricing comparison section","","Sun Apr 27 19:56:31 UTC 2025","passed","Sun Apr 27 19:56:55 UTC 2025","","Testing Telnyx vs Twilio page","",""
"","16727","Test 4-1 - Messaging API pricing page / Pricing options section","","Sun Apr 27 19:56:31 UTC 2025","passed","Sun Apr 27 19:56:48 UTC 2025","","Testing Telnyx messaging page","",""
"","6914","Test 2-2 - Pricing page content","","Sun Apr 27 19:56:54 UTC 2025","passed","Sun Apr 27 19:57:01 UTC 2025","","Testing Telnyx pricing page","",""
"","3669","Test 4-5 SMS API section","","Sun Apr 27 19:57:14 UTC 2025","passed","Sun Apr 27 19:57:18 UTC 2025","","Testing Telnyx messaging page","",""
"","26390","Test 1-1 - verify Pricing button in the header","","Sun Apr 27 19:56:31 UTC 2025","passed","Sun Apr 27 19:56:57 UTC 2025","","Testing Telnyx home page","",""
"","4810","Tet 1-5 - footer - links","","Sun Apr 27 19:57:28 UTC 2025","passed","Sun Apr 27 19:57:33 UTC 2025","","Testing Telnyx home page","",""
"","6594","Test 1-3 - verify Solutions button in the header","","Sun Apr 27 19:57:15 UTC 2025","passed","Sun Apr 27 19:57:22 UTC 2025","","Testing Telnyx home page","",""
"","5108","Test 2-3 - Pricing page / Benefits section","","Sun Apr 27 19:57:01 UTC 2025","passed","Sun Apr 27 19:57:06 UTC 2025","","Testing Telnyx pricing page","",""
"","6338","Test 1-4 - Need more info section","","Sun Apr 27 19:57:22 UTC 2025","passed","Sun Apr 27 19:57:28 UTC 2025","","Testing Telnyx home page","",""
"","4437","Test 4-4 pricing section illustrations","","Sun Apr 27 19:57:14 UTC 2025","passed","Sun Apr 27 19:57:18 UTC 2025","","Testing Telnyx messaging page","",""
"","8581","Test 2-4 - Pricing page / Communications section navigation","","Sun Apr 27 19:57:06 UTC 2025","passed","Sun Apr 27 19:57:14 UTC 2025","","Testing Telnyx pricing page","",""
"","13918","Test 4-3 FAQ section","","Sun Apr 27 19:57:00 UTC 2025","passed","Sun Apr 27 19:57:14 UTC 2025","","Testing Telnyx messaging page","",""
"","12165","Test 4-2 - Messaging API pricing page / Pay as you go section","","Sun Apr 27 19:56:48 UTC 2025","passed","Sun Apr 27 19:57:00 UTC 2025","","Testing Telnyx messaging page","",""
"","6768","Test 3-4 Solutions page Search option","","Sun Apr 27 19:57:04 UTC 2025","passed","Sun Apr 27 19:57:11 UTC 2025","","Testing Telnyx solutions page","",""
"","5858","Test 3-1 - navigation on Solutions page","","Sun Apr 27 19:56:31 UTC 2025","passed","Sun Apr 27 19:56:36 UTC 2025","","Testing Telnyx solutions page","",""
